product_id,price,stock
10000,1840.75,642
10001,340.65,414
10002,1219.41,374
10003,941.75,212
10004,432.39,375
10005,1055.18,727
10006,1046.03,3
10007,1618.94,781
10008,1402.44,654
10009,1779.15,947
10010,1482.65,85
10011,438.12,5
10012,1736.79,950
10013,756.95,537
10014,887.17,367
10015,380.95,553
10016,1727.34,841
10017,1903.68,889
10018,98.61,125
10019,1650.47,281
10020,1810.21,682
10021,383.16,915
10022,1629.46,670
10023,210.98,696
10024,1540.97,592
10025,1944.12,336
10026,1210.8,574
10027,629.79,541
10028,819.37,960
10029,1547.36,736
10030,1201.13,46
10031,41.48,914
10032,1111.12,557
10033,859.39,101
10034,119.84,605
10035,577.39,279
10036,918.64,905
10037,31.29,408
10038,547.69,841
10039,1129.53,543
10040,461.38,431
10041,14.81,786
10042,1196.27,282
10043,1735.68,777
10044,1256.94,558
10045,406.02,321
10046,284.2,644
10047,993.51,668
10048,1893.78,670
10049,1414.66,477
10050,808.52,631
10051,866.29,330
10052,859.82,759
10053,149.61,349
10054,276.67,592
10055,11.52,608
10056,708.48,694
10057,166.58,862
10058,1262.61,598
10059,970.79,870
10060,978.33,15
10061,1358.16,890
10062,1538.11,441
10063,771.09,540
10064,1658.5,803
10065,984.86,587
10066,660.21,137
10067,1159.36,877
10068,649.87,336
10069,380.54,377
10070,1781.55,780
10071,1892.86,564
10072,266.88,289
10073,1468.33,269
10074,1034.89,614
10075,600.66,366
10076,177.21,584
10077,406.75,848
10078,1090.36,5
10079,1785.12,397
10080,1943.32,313
10081,1245.02,595
10082,1866.67,253
10083,310.98,858
10084,1975.41,348
10085,1094.19,188
10086,1873.39,728
10087,564.12,475
10088,659.78,110
10089,1984.87,783
10090,1984.59,254
10091,1349.28,933
10092,676.71,326
10093,325.45,132
10094,1261.03,624
10095,1950.51,808
10096,848.1,859
10097,1091.63,21
10098,649.2,141
10099,818.64,794
10100,1559.55,870
10101,1428.93,309
10102,1765.19,899
10103,1549.32,510
10104,282.03,278
10105,1212.49,651
10106,481.58,869
10107,180.8,457
10108,641.6,856
10109,1590.43,274
10110,1598.54,938
10111,1355.35,973
10112,636.05,359
10113,1625.4,391
10114,1340.6,191
10115,522.7,861
10116,598.49,488
10117,626.01,759
10118,1111.46,607
10119,221.07,858
10120,1036.64,946
10121,220.93,275
10122,1641.28,420
10123,222.06,509
10124,1026.93,70
10125,1489,90
10126,284.25,380
10127,1160.98,837
10128,948.45,224
10129,523.58,227
10130,1049.76,832
10131,1148.48,92
10132,24.48,540
10133,424.75,908
10134,153.48,419
10135,306.71,474
10136,1910.77,447
10137,816.7,530
10138,1480.79,163
10139,1281.41,164
10140,1153.96,411
10141,1218.35,993
